#,Monnaie,Cours,1 h,24 h,7 j,30 j,Volume sur 24 h,Offre en circulation,Offre totale,Capitalisation du marché
88,"Huobi
HT","$2,64",-0.3%,1.0%,-8.0%,-11.7%,$20 634 275,162 336 522,204 million,$429 455 429
89,"cUSDC
CUSDC","$0,022886973795",-0.0%,-0.1%,0.1%,0.2%,"$2,90",18 138 499 918,"18,1 milliard",$415 135 372
90,"GMX
GMX","$46,03",0.5%,6.3%,-12.6%,-25.2%,$20 293 296,8 785 018,"8,79 million",$405 135 164
91,"eCash
XEC","$0,000020467811",0.0%,0.3%,-11.8%,-26.3%,$2 111 783,19 413 673 423 293,21 billion,$395 975 319
92,"Frax Ether
FRXETH","$1 747,23",0.0%,-0.2%,-3.8%,-3.1%,$4 772 442,225 354,225 millier,$394 111 993
93,"Conflux
CFX","$0,187573",-0.6%,1.4%,-18.4%,-26.4%,$49 720 181,2 097 547 687,"5,28 milliard",$393 700 680
94,"Pepe
PEPE","$0,000000927482",0.2%,-0.7%,-8.1%,-51.0%,$84 755 200,420 690 000 000 000,421 billion,$390 686 407
95,"Mina Protocol
MINA","$0,415709",-0.2%,-0.3%,-17.3%,-26.1%,$16 219 004,916 623 198,"1,04 milliard",$381 366 960
96,"Sui
SUI","$0,717455",0.4%,7.0%,-11.6%,-36.5%,$322 139 081,528 273 718,10 milliard,$379 066 880
97,"Frax Share
FXS","$5,08",0.6%,0.9%,-18.6%,-23.4%,$9 362 279,72 395 009,"99,7 million",$367 844 266
98,"Chiliz
CHZ","$0,068014878504",-0.1%,0.2%,-28.0%,-36.5%,$34 068 707,5 344 064 580,"8,89 milliard",$363 858 002
99,"NEXO
NEXO","$0,621342",-0.2%,0.5%,-3.1%,-6.4%,$4 178 880,560 000 010,1 milliard,$348 309 319
100,"Arweave
AR","$5,18",-0.0%,0.7%,-17.5%,-20.8%,$6 900 138,65 454 186,"65,5 million",$340 088 905
